Camera,SD_Card,Round,ForestType,Forest,Season,inv_simp,div_shan,ForestSimpson,ForestShannon,ForestSR,meanTreeDensity,meanTreeDominance,meanSeedlingSaplingDensity,meanSSDominance,MeanAllDensity,meanAllDominance,SpecRichness,NumDeer,RoadDensity50,PlotSize50,Aspect50,Slope50,P_Water50,P_Mixed50,P_Evergreen50,P_Deciduous50,P_Forest50,P_Development50,P_Agriculture50,P_Barren50,P_Shrub50,P_Wetland50,P_Herb50,PPT_50,Elevation50,Cam_Model,Cam_Orient,PPT_100,Slope100,Elevation100,RoadDensity100,PlotSize100,Cam_Orient100,Aspect100,P_Water100,P_Mixed100,P_Evergreen100,P_Deciduos100,P_Forest100,P_Development100,P_Agriculture100,P_Barren100,P_Shrub100,P_Wetland100,P_Herb100
17,7,3,Deciduous,BC,Summer,NA,NA,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,NA,NA,0,561.563156,177.709396,17.36706734,1.433692,0,0,95.698925,95.698925,0,0,0,0,3.0465595,0,94.6006012,236,Browning ,218,91.81259918,1.012750387,132,0,726.1271087,280,225,0.450045,1.350135,55.625563,35.373537,92.349235,0,0,0,0.990099,6.120612,0
18,18,3,Pine,DEG,Summer,1,0,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,NA,NA,0,950.580053,333.434937,3.199601412,0,5.197133,60.394265,30.286738,95.878136,0,0,0,4.121864,0,0,119.0617981,265,Browning ,64,89.65440369,2.8624053,138,0,637.1882833,286,0,3.240324,0,1.530153,80.378038,81.908191,0,0,0,0.180018,14.40144,0.270027
21,40,3,Pine,WF,Summer,NA,NA,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,NA,2,0.714961978,561.563156,78.6900711,10.82504368,3.046595,0.179211,8.422939,85.304659,93.906809,0,0,0,0,3.225806,0,96.40039825,255,Bushnell HD,51,94.88400269,3.199601412,113,0.010084,637.1882833,164,333.4349365,2.880288,0,2.160216,78.217822,80.378038,0,0,0,0,16.831683,0
22,22,3,Pine,WHIP,Summer,,,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,NA,NA,0.888699578,474.131796,336.801422,5.438007832,0,1.075269,47.132616,49.462366,97.670251,0,0,0,0,1.433692,0.896057,93.27200317,254,Bushnell HD,105,94.0141983,9.094640732,113,0,637.1882833,13,231.3401947,0.270027,0,1.530153,75.337534,76.867687,0,0,0,0.630063,21.152115,0.990099
23,32,3,Deciduous,SH,Summer,5.084656085,1.799644894,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,8,10,0,637.188283,153.434952,18.54197884,0,0,0,49.641577,49.641577,0,4.659498,0,18.996416,25.985663,0,92.54319763,156,Bushnell HD,234,94.6006012,6.379370213,99,0.630696,726.1271087,206,333.4349365,0.090009,1.980198,12.331233,64.536454,78.847885,2.610261,0,0,0.090009,18.361836,0
24,25,3,Deciduous,BC,Summer,NA,NA,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,NA,NA,0.746943063,520.20841,14.0362425,5.885129452,0,4.83871,15.949821,76.702509,97.49104,1.25448,0,0,0,0.537634,0,97.375,212,Browning ,227,90.55780029,18.37304306,111,0.729694,726.1271087,51,289.7988892,0,2.250225,21.782178,50.315032,74.347435,2.970297,1.80018,0,0.630063,20.252025,0
25,38,3,Deciduous,SH,Summer,2.666666667,1.039720771,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,3,NA,0,726.127109,278.130096,5.051152706,2.150538,0,14.695341,80.107527,94.802868,0,0,0,3.584229,0,0,120.1684036,102,Browning ,233,85.30079651,5.051152706,102,0.335006,726.1271087,233,278.1300964,1.980198,0.090009,20.972097,67.776778,88.838884,0.810081,0.630063,0,3.780378,3.960396,0
27,35,3,Pine,DEG,Summer,2,0.693147181,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,2,1,0,637.188283,245.556046,8.588925362,0,0,0,89.605735,89.605735,0,0,0,4.301075,3.225806,3.584229,92.54319763,128,Browning ,233,97.68659973,17.36706734,236,0,561.5631565,218,177.7093964,2.160216,0,1.440144,92.079208,93.519352,0,0,0,0,4.590459,0
28,8,3,Pine,DEG,Summer,NA,NA,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,NA,NA,0.968969565,561.563156,333.434937,6.379370213,2.688172,3.225806,9.677419,71.326165,84.22939,0,0,0,0,12.903225,0,92.95980072,257,Browning ,71,92.54319763,16.05431557,257,0.537096,561.5631565,331,124.3803482,0.450045,3.060306,6.030603,88.388839,97.479748,0,0,0,0,1.980198,0
30,6,3,Deciduous,BC,Summer,NA,NA,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,NA,NA,0.787470647,950.580053,0,5.710593224,5.913978,0.179211,4.121864,83.154122,87.455197,0,0,0,1.971326,5.197133,0,102.7360001,305,Bushnell HD,358,122.7335968,2.263636112,246,0,474.1317962,200,108.4349518,2.070207,3.330333,14.941494,36.183618,54.455445,0,0,0,0,43.294329,0
31,3,3,Pine,WHIP,Summer,2,1.037392325,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,5,11,0.3535004,561.563156,237.528809,9.256682396,0,0.716846,0,98.566308,99.283154,0,0,0,0,0.896057,0,99.28639984,270,Bushnell HD,244,97.57499695,6.762860775,131,0,637.1882833,56,108.4349518,4.50045,0,0,76.237624,76.237624,0,0,0,0.720072,13.321332,4.860486
32,26,3,Pine,WF,Summer,2.40974212,1.298169632,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,7,18,0,637.188283,108.434952,6.762860775,4.121864,0,0,80.46595,80.46595,0,0,0,0,8.064516,7.885305,94.92060089,131,Browning ,56,84.79499817,11.30993271,119,0.50759,726.1271087,263,180,0.360036,2.520252,24.572457,61.746175,88.838884,1.980198,0,0,3.150315,4.680468,0.810081
33,23,3,Deciduous,DON,Summer,2.907915994,1.212153251,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,5,14,0.599027752,520.20841,206.565048,3.199601412,1.075269,2.688172,13.978495,60.573477,77.240144,4.121864,0,0,8.243728,6.451613,3.405018,99.76599884,200,Browning ,21,123.1381989,1.012750387,256,0.249187,474.1317962,348,315,2.610261,2.430243,47.70477,35.643564,85.778577,0,0,0,0.810081,9.720972,1.080108
1,23,4,Pine,DEG,Fall,4.658064516,1.721241237,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,8,12,0,726.127109,15.2551184,8.111279488,0.358423,1.25448,48.028674,50,99.283154,0,0,0,0,0.358423,0,94.0141983,127,Bushnell HD,142,96.86520386,4.168739796,250,0.999379,474.1317962,298,59.03624344,0.810081,3.870387,60.39604,15.841584,80.108011,0.630063,0,0,0.990099,16.471647,0.990099
2,7,4,Deciduous,SH,Fall,3.769230769,1.351783994,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,4,NA,0,561.563156,189.462326,8.646670341,3.942652,0.716846,6.630824,86.55914,93.90681,0,0,0,0,2.867384,0,97.68659973,251,Bushnell HD,200,98.40180206,0,250,0.998469,474.1317962,218,NA,0.450045,1.170117,53.555356,28.442844,83.168317,0,0,0,4.140414,11.971197,0
3,39,4,Pine,WF,Fall,1.689655172,0.598269589,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,2,5,0,561.563156,270,4.289153576,0.358423,4.121864,3.942652,86.55914,94.623656,0,0,0,0,4.301075,0,97.68659973,279,Bushnell HD,172,98.40180206,0,262,0.324411,474.1317962,157,NA,3.60036,1.80018,34.473447,45.0045,81.278127,0,0,0,0.810081,14.311431,0
4,12,4,Deciduous,BC,Fall,2.574468085,1.120950393,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,4,6,0,637.188283,NA,0,2.508961,0,0.716846,88.172043,88.888889,0,0,0,0,8.064516,0,89.65440369,140,Bushnell HD,178,96.86520386,0,250,0.450578,474.1317962,18,NA,0.810081,0.90009,60.39604,22.232223,83.528353,0,0,0,0,14.131413,1.620162
5,34,4,Pine,WF,Fall,1.507692308,0.519579839,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,2,11,0,950.580053,341.5651,4.520227432,2.150538,10.9319,58.243728,17.383513,86.559141,0,0,0,0,10.394265,0,98.48180389,222,Browning ,224,91.68359375,8.588925362,128,0,637.1882833,233,245.5560455,0.90009,0,0,80.19802,80.19802,0,0,0,2.340234,11.70117,4.680468
6,5,4,Pine,DEG,Fall,NA,NA,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,NA,NA,0,637.188283,0,2.8624053,0,0,1.612903,91.577061,93.189964,0,0,0,0,6.451613,0,89.65440369,138,Browning ,286,104.4089966,15.61612988,195,0,561.5631565,185,349.6951599,3.510351,1.170117,4.230423,90.009001,95.409541,0,0,0,0,1.647059,0
7,42,4,Pine,WHIP,Fall,4.544055944,1.735000213,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,8,7,0,637.188283,220.236359,12.01703548,6.451613,0,0,85.304659,85.304659,0,0,0,1.792115,6.09319,0,89.65440369,144,Browning ,270,89.65440369,12.01703548,144,0,637.1882833,270,220.2363586,4.320432,0,0,86.948695,86.948695,0,0,0,4.050405,5.040504,0
10,35,4,Deciduous,DON,Fall,4.481481481,1.546598686,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,5,2,0.676785306,950.580053,315,1.012750387,0,2.329749,57.706093,29.21147,89.247312,0,4.83871,0,6.451613,0,0,119.0617981,263,Bushnell HD,178,94.6989975,3.199601412,147,0,637.1882833,199,296.5650635,4.140414,0,0,83.438344,83.438344,0,0,0,3.330333,8.730873,0
14,25,4,Deciduous,DON,Fall,2.777777778,1.054920168,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,3,2,1.053959516,561.563156,108.434952,8.984876633,1.075269,2.867384,0,84.946237,87.813621,0,0,0,0,10.035842,0,95.92179871,279,Browning ,196,119.0617981,6.137379646,273,0.804834,520.2084104,51,305.5376892,0,3.960396,13.681368,76.417642,94.059406,0,0.450045,0,0,4.680468,0.360036
15,6,4,Deciduous,SH,Fall,1.898702461,0.919312403,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,8,141,0,950.580053,270,2.8624053,0,11.648746,57.34767,22.759857,91.756273,0,0,0,1.075269,7.168459,0,119.0617981,238,Browning ,356,96.62519836,1.012750387,199,1.088857,520.2084104,58,315,0,0.90009,19.891989,56.975698,77.767777,3.420342,0,0,10.261026,8.640864,0
17,26,4,Pine,WHIP,Fall,4.128440367,1.72213996,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,9,7,0,637.188283,296.565063,3.199601412,6.09319,0,0,89.605735,89.605735,0,0,0,1.792115,3.225806,0,96.86520386,147,Browning ,199,99.76599884,3.199601412,200,0.663325,520.2084104,21,206.5650482,0.540054,2.610261,18.181818,61.29613,82.088209,4.680468,0,0,5.130513,4.950495,2.880288
18,11,4,Deciduous,BC,Fall,NA,NA,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,NA,NA,1.114233878,520.20841,258.690063,3.64697051,0,9.856631,46.774194,40.501792,97.132617,0,0,0,0.358423,2.688172,0,85.59600067,215,Browning ,334,99.28639984,3.64697051,215,0,520.2084104,334,258.6900635,0.180018,8.820882,35.463546,49.774977,94.059405,0,0,0,2.160216,1.530153,1.710171
21,40,4,Deciduous,DON,Fall,3.368421053,1.559581156,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,7,NA,0.763104644,950.580053,258.690063,3.64697051,0,12.724014,22.222222,63.978495,98.924731,0,0,0,0,0,0,98.8789978,250,Bushnell HD,185,99.76599884,0,196,0.357784,520.2084104,17,NA,0,0,8.820882,41.944194,50.765076,0.090009,14.311431,0,28.892889,6.210621,0
23,24,4,Deciduous,SH,Fall,2.293650794,1.08693416,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,6,2,1.280475657,520.20841,131.185928,14.88256741,0,5.376344,21.326165,66.308244,93.010753,5.734767,0,0,0,1.075269,0,97.375,227,Bushnell HD,168,96.62519836,14.30291462,210,0,520.2084104,138,258.6900635,0.540054,5.220522,27.0027,56.705671,88.928893,0,0,0,5.130513,3.060306,2.880288
27,41,4,Deciduous,BC,Fall,3.27027027,1.263654432,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,4,4,0.015118817,520.20841,305.537689,6.137379646,0,4.121864,5.376344,84.587814,94.086022,0,0,0,0,6.272401,0,91.19300079,273,Browning ,51,96.56919861,2.8624053,210,0.742934,950.5800525,180,0,0.090009,5.130513,24.122412,32.673267,61.926192,2.520252,17.191719,0,1.080108,16.831683,0
28,1,4,Deciduous,SH,Fall,1.638680963,0.897604113,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,9,15,0.723268761,950.580053,0,2.8624053,0,2.688172,27.240143,38.351254,68.279569,1.075269,4.659498,0,1.612903,24.910394,0,98.3769989,210,Browning ,180,99.28639984,3.199601412,206,1.159804,520.2084104,16,26.56505013,0,4.770477,22.682268,65.256526,92.709271,4.950495,0,0,0,2.430243,0
30,17,4,Deciduous,DON,Fall,1,0,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,1,9,0.820708428,474.131796,302.471191,9.256682396,0,1.433692,78.853047,15.232975,95.519714,0,0,0,0,1.792115,3.225806,98.40180206,260,Bushnell HD,30,87.71920013,0,237,0.212374,950.5800525,70,NA,0,15.751575,32.043204,38.613861,86.40864,0,0,0,2.070207,11.071107,0.630063
31,15,4,Pine,WHIP,Fall,2.126090994,1.064030442,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,8,68,0,520.20841,180,11.30993271,0,1.612903,13.261649,76.164875,91.039427,0,0,0,9.498208,0,0,99.76599884,189,Bushnell HD,233,120.1684036,6.379370213,257,0.701699,561.5631565,71,333.4349365,2.520252,2.970297,10.80108,71.467147,85.238524,0,0,0,0,12.151215,0
32,13,4,Pine,WHIP,Fall,1.141316073,0.282600107,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,3,43,0,561.563156,295.016907,11.69020844,0,0,3.405018,96.774194,100.179212,0,0,0,0,0.896057,0,99.28639984,227,Browning ,278,92.95980072,3.199601412,265,0.452698,950.5800525,64,333.4349365,0,6.570657,49.864986,40.774077,97.20972,0,0,0,2.970297,0,0
33,38,4,Pine,DEG,Fall,3.126394052,1.479834859,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,7,15,0.247407766,474.131796,98.1301041,5.051152706,2.329749,1.075269,46.415771,33.870968,81.362008,0,0,0,1.971326,14.516129,0.537634,98.40180206,249,Browning ,235,102.7360001,5.051152706,249,0.233927,474.1317962,235,98.13010406,2.160216,1.980198,54.905491,25.112511,81.9982,0,0,0,2.520252,12.331233,1.080108
34,21,4,Pine,WF,Fall,1.649620587,0.89380776,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,7,77,0.983261847,950.580053,296.565063,3.199601412,0,0.716846,40.501792,57.526882,98.74552,0,0,0,0,1.433692,0,102.7360001,350,Browning ,129,97.375,3.199601412,350,1.102746,950.5800525,129,296.5650635,0,3.60036,27.182718,66.516652,97.29973,0.360036,0,0,0,2.340234,0.090009
35,16,4,Deciduous,BC,Fall,1.529100529,0.672396262,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,4,27,0,637.188283,71.5650482,2.263636112,2.688172,0,0,82.616487,82.616487,0,0,0,0,14.874552,0,90.55780029,142,Browning ,14,98.3769989,2.263636112,142,0,637.1882833,14,71.56504822,1.530153,1.080108,4.230423,80.738074,86.048605,0,0,0,0,12.151215,0
36,32,4,Pine,WF,Fall,6.063732233,1.906882424,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,9,17,0,950.580053,NA,0,2.150538,7.168459,43.010753,30.645161,80.824373,0,0.179211,0,0,17.383513,0,102.7360001,222,Browning ,236,91.19300079,0,222,0,950.5800525,236,NA,1.080108,6.210621,38.343834,33.393339,77.947794,0,8.10081,0,0,12.60126,0
37,31,4,Pine,DEG,Fall,5.433268859,1.923162474,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,10,12,0,474.131796,NA,0,1.612903,0,6.630824,75.448029,82.078853,0,0,0,0,17.204301,0,98.40180206,249,Browning ,173,102.7360001,0,249,0,474.1317962,173,NA,0.810081,2.160216,15.841584,67.866787,85.868587,0,0,0,0.180018,12.781278,0
